PLAY #,ODK,OPP TEAM,DEF TEAM,SITUATION,PERSONNEL,ALT PERS,DN,DIST,YARD LN,HASH,OFF FORM,OFF STR,OPP FORM,BACKFIELD,FORM VAR,FORM SHELL,FIB,MOTION,PLAY TYPE,DIRECTION/ACTION,OFF PLAY,PLAY DIR,OFF CONCEPT,BLOCKING ADJ,OPP PLAY,HIT,RESULT,GN/LS,BALLCARRIER,NOTES,PACKAGE,DISGUISE,DEF FRONT,STUNT,BLITZ,COVERAGE,READ COV,AWAY COV,CUTUP,RS ROUTES,AS ROUTES,PASS PRO,PASS PRO FAM,C TURN,PASS PRO A,PASS PRO B,PASS PRO H,PASS PRO Y
80,O,BUCHANAN,DE LA SALLE,,12,12,2,10,-25,L,PAIR TREY OPEN,R,,DOT,N,PAIR TREY OPEN,,N,Run,WK,CTR OU ARC WK,L,COUNTER,,,BOUND,Rush,-3,,,,,,,,,,,,,,,,,,,,
123,O,BUCHANAN,LIBERTY,,12,12,2,7,-24,M,G WK PAIR TREY OPEN,R,,G WK,N,PAIR TREY OPEN,,N,Run,WK,CTR OU ARC WK,L,COUNTER,,,RIGHT,Rush,1,,,,,ODD,,4 BASE,0 MAN,,,,,,,,,,,,
125,O,BUCHANAN,DE LA SALLE,,12,12,2,10,49,M,G WK SLOT PRO,R,,G WK,N,ACE,BOTH,N,Run,ST,CTR OU ARC ST,R,COUNTER,,,LEFT,Rush,8,,,,,,,,,,,,,,,,,,,,
99,O,BUCHANAN,DE LA SALLE,,12,12,1,10,-20,M,SLOT PRO,L,,DOT,N,ACE,,N,Run,ST,CTR OU ARC ST,L,COUNTER,,,MID,Rush,-1,,,,,,,,,,,,,,,,,,,,
34,O,BUCHANAN,CENTRAL,RZ,12,12,1,10,10,L,UNB G ST PAIR TREY OPEN,R,,G ST,N,UNB PAIR TREY OPEN,,X JET,Run,WK,CTR OU WK,L,COUNTER,,,BOUND,Rush,-1,3,,,,MINT,,,0,,,,,,,,,,,,
23,O,BUCHANAN,DE LA SALLE,,12,12,2,2,-16,R,ACE,L,,DOT,N,ACE,,N,Run,ST,ZONE ST,L,ZONE,,,BOUND,Rush,-1,,,,,,,,,,,,,,,,,,,,
120,O,BUCHANAN,LIBERTY,,12,12,1,10,-3,R,ACE,L,,DOT,N,ACE,,N,Run,ST,ZONE ST,L,ZONE,,,BOUND,Penalty,-1,,,,,UNDER,,5 BASE,0,,,,,,,,,,,,
136,O,BUCHANAN,LIBERTY,,12,12,2,12,-36,R,ACE,L,,DOT,N,ACE,,N,Run,ST,ZONE ST,L,ZONE,,,FIELD,Rush,-4,,,,,ODD WALK,,6 GAPS,0 MAN,,,,,,,,,,,,
122,O,BUCHANAN,LIBERTY,,12,12,1,10,-21,L,ACE,R,,DOT,N,ACE,,N,Run,ST,ZONE ST,R,ZONE,,,FIELD,Rush,3,,,,,ODD,,5 BASE,0 MAN,,,,,,,,,,,,
47,O,BUCHANAN,LIBERTY,RZ,12,12,1,8,8,R,ACE,L,,DOT,N,ACE,,N,Run,WK,ZONE WK,R,ZONE,,,BOUND,Rush,3,,,,,ODD,,5 BASE,0 MAN,,,,,,,,,,,,
119,O,BUCHANAN,DE LA SALLE,,12,12,2,4,-25,R,PAIR TREY OPEN,L,,DOT,N,PAIR TREY OPEN,,N,Run,ST,PEEL ACROSS ST,L,PEEL,,,FIELD,Rush,1,,,,,,,,,,,,,,,,,,,,
137,O,BUCHANAN,LIBERTY,,12,12,3,16,-32,L,PAIR TREY OPEN,L,,DOT,N,PAIR TREY OPEN,BOTH,N,Run,ST,PEEL ACROSS ST,L,PEEL,,,FIELD,Rush,2,,,,,ODD,,4 BASE,0 MAN,,,,,,,,,,,,
114,O,BUCHANAN,WEST,GL,12,12,4,3,3,M,G WK PAIR TREY OPEN,R,,G WK,N,PAIR TREY OPEN,,N,Run,ST,PEEL ACROSS ST,R,PEEL,,,MID,Rush,-1,,,,,WC-G,,,GOALINE,,,,,,,,,,,,
77,O,BUCHANAN,DE LA SALLE,,12,12,1,10,-14,R,G ST ACE,L,,G ST,N,ACE,,N,Run,WK,STRETCH CT WK,R,STRETCH PIN PULL,,,BOUND,Rush,2,,,,,,,,,,,,,,,,,,,,
121,O,BUCHANAN,DE LA SALLE,,12,12,1,10,-35,R,G ST ACE,L,,G ST,N,ACE,,N,Run,WK,STRETCH CT WK,R,STRETCH PIN PULL,,,BOUND,Rush,5,,,,,,,,,,,,,,,,,,,,
124,O,BUCHANAN,DE LA SALLE,,12,12,1,10,49,R,G WK ACE,L,,G WK,N,ACE,,N,Run,ST,STRETCH CT ST,L,STRETCH PIN PULL,,,FIELD,Rush,0,,,,,,,,,,,,,,,,,,,,
111,O,BUCHANAN,WEST,RZ,12,12,1,6,6,L,G WK WG TREY OPEN,R,,G WK,N,PAIR TREY OPEN,,N,Run,ST,STRETCH ST,R,STRETCH,,,FIELD,Rush,-9,,,,,WC-G,,,GOALINE,,,,,,,,,,,,
121,O,BUCHANAN,LIBERTY,,12,12,1,11,-2,R,SLOT TRIPS,R,,DOT,N,SLOT TRIPS,,N,Run,WK,STRETCH WK,L,STRETCH,,,FIELD,Rush,19,,,,,ODD WALK,,6 GAPS,0,,,,,,,,,,,,
35,O,BUCHANAN,CENTRAL,RZ,12,12,2,11,11,M,UNB G ST WG TREY OPEN,R,,G ST,N,UNB PAIR TREY OPEN,,X JET,Run,ST,JET SWP LD ST,R,JET SWEEP LD,,,LEFT,Rush,9,17,,,,MINT,,,0,,,,,,,,,,,,
79,O,BUCHANAN,DE LA SALLE,,12,12,1,10,-25,L,ACE,R,,DOT,N,ACE,,N,Pass,QK,SLANT-ARROW,R,SLANT-ARROW,,,BOUND,Rush,0,,,,,,,,,,,,,,,,,,,,
78,O,BUCHANAN,DE LA SALLE,,12,12,2,8,-16,R,SLOT PRO,L,,DOT,N,ACE,,UAC,Pass,PA,BOOT O ST,L,BOOT,,,FIELD,Rush,9,,,,,,,,,,,,,,,,,,,,
100,O,BUCHANAN,DE LA SALLE,,12,12,2,11,-19,M,SLOT PRO,R,,DOT,N,ACE,BOTH,UAC,Pass,PA,BOOT O ST,R,BOOT,,,LEFT,Incomplete,0,,,,,,,,,,,,,,,,,,,,
103,O,BUCHANAN,DE LA SALLE,,12,12,2,6,-38,R,P PAIR TREY OPEN,R,,P,N,PAIR TREY OPEN,BOTH,N,Pass,PA,BENGAL,R,BENGAL,,,BOUND,Rush,7,,,,,,,,,,,,,,,,,,,,
124,O,BUCHANAN,LIBERTY,,12,12,3,6,-25,L,G ST ACE,R,,G ST,N,ACE,,BOLT ST,Pass,QK,INV $,L,INV $,,,LEFT,Incomplete,0,,,,,ODD,,3 BASE,4 PRESS,,,,,,SWING,,,,,,
129,O,BUCHANAN,DE LA SALLE,,12,12,3,9,37,R,G ST ACE,L,,G ST,N,ACE,,N,Pass,DB,OUTSIDE VERTS,L,OUTSIDE VERTS,,,RIGHT,Incomplete,0,,,,,,,,,,,,,,,,,,,,
118,O,BUCHANAN,DE LA SALLE,P,12,12,1,10,-19,R,G WK PAIR TREY OPEN,R,,G WK,N,PAIR TREY OPEN,BOTH,N,Pass,RPO,PEEL ST/Z HITCH,R,PEEL PRO,,,BOUND,Complete,6,,,,,,,,,,,,,,,,,,,,
105,O,BUCHANAN,DE LA SALLE,,12,12,2,8,-47,M,G WK ACE,R,,G WK,N,ACE,,N,Pass,RPO,STRETCH CT ST/U SLANT,L,STRETCH PIN PULL RPO,,,MID,Incomplete,0,,,,,,,,,,,,,,,,,,,,
128,O,BUCHANAN,DE LA SALLE,,12,12,2,9,37,R,G WK ACE,L,,G WK,N,ACE,,N,Pass,RPO,STRETCH CT ST/Z HITCH,R,STRETCH PIN PULL RPO,,,BOUND,Incomplete,0,,,,,,,,,,,,,,,,,,,,
76,O,BUCHANAN,CENTRAL,P,10,10,1,10,-29,M,G WK DBL TWINS,R,,G WK,N,DBL TWINS,,N,Pass,DB,VERTS,R,VERTS,,,LEFT,Complete,13,,,,,MINT,,,,,,,,,HALF SLIDE,,,,,,
110,O,BUCHANAN,LIBERTY,,10,10,2,8,-22,L,G WK DBL TWINS,R,,G WK,N,DBL TWINS,,N,Pass,DB,VERTS,L,VERTS,,,BOUND,Incomplete,0,,,,,ODD,,3 BASE,4,,,,,,HALF SLIDE,,,,,,
14,O,BUCHANAN,LIBERTY,,10,10,3,24,34,L,G ST DBL TWINS,R,,G ST,N,DBL TWINS,,N,Pass,DB,VERTS,L,VERTS,,,BOUND,Incomplete,0,,,,,ODD,,3 BASE,4,,,,,,BOB,,,,,,
65,O,BUCHANAN,WEST,P,10,10,1,10,-28,L,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Pass,DB,VERTS,L,VERTS,,,BOUND,Penalty,-5,,,,,WC-G,,,BLUE-SOLO,,,,VERTS,FADE,,,,,,,
62,O,BUCHANAN,LIBERTY,2M,10,10,1,10,-20,M,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Pass,DB,VERTS (Z DIG),R,VERTS,,,LEFT,Scramble,1,,,,,ODD,,3 BASE,5,,,,,,HALF SLIDE,,,,,,
32,O,BUCHANAN,LIBERTY,,10,10,3,12,32,R,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,DB,LOBO,R,LOBO,,,BOUND,Incomplete,0,,,,,ODD,,5 CROSS DOG,SPECIAL,,,,,,HALF SLIDE,,,,,,
46,O,BUCHANAN,CENTRAL,,10,10,2,14,39,L,G WK TRIPS OPEN,R,,G WK,N,TRIPS OPEN,,N,Pass,DB,LOBO,R,LOBO,,,FIELD,Complete,16,,,,,DIME,,BULLETS,,,,,,,HALF SLIDE,,,,,,
46,O,BUCHANAN,LIBERTY,,10,10,3,8,-36,L,G ST DBL TWINS,R,,G ST,N,DBL TWINS,,N,Pass,QK,LOBO/SCISSORS,L,LOBO,,,BOUND,Scramble,56,,,,,ODD,,5 CROSS DOG,4 PRESS,,,,,,BOB,,,,,,
64,O,BUCHANAN,LIBERTY,2M,10,10,3,3,-27,R,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Pass,SPRINT,PIVOT-WHEEL-OUT,L,PIVOT-WHEEL-OUT,,,FIELD,Complete,11,,,,,ODD,,3 BASE,5,,,,,,SPRINT,,,,,,
111,O,BUCHANAN,LIBERTY,,10,10,3,8,-22,L,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Pass,SPRINT,PIVOT-WHEEL-OUT,R,PIVOT-WHEEL-OUT,,,FIELD,Rush,1,,,,,ODD,,3 BASE,3,,,,,,,,,,,,
63,O,BUCHANAN,LIBERTY,2M,10,10,2,9,-21,R,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,SPRINT,PIVOT-WHEEL-OUT,L,PIVOT-WHEEL-OUT,,,FIELD,Complete,6,,,,,ODD,,3 BASE,5,,,,,,BOOT,,,,,,
47,O,BUCHANAN,DE LA SALLE,,10,10,3,10,44,M,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,SPRINT,COMEBACK-FLAT-CORNER,L,COMEBACK-FLAT-CORNER,,,RIGHT,Incomplete,0,,,,,,,,,,,,,,,,,,,,
77,O,BUCHANAN,CENTRAL,,10,10,1,10,-42,R,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,SPRINT,COMEBACK-FLAT-CORNER,L,COMEBACK-FLAT-CORNER,,,BOUND,Rush,-18,,,,,MINT,,,,,,,,,,,,,,,
67,O,BUCHANAN,WEST,,10,10,2,11,-27,L,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Pass,DB,DIG-PIVOT-SEAM,R,DIG-PIVOT-SEAM,,,FIELD,Rush,0,,,,,WC-G,,,BLUE-SOLO,,,,DIG-PIVOT-SEAM,OUT,,,,,,,
38,O,BUCHANAN,WEST,,10,10,3,6,43,R,G WK TRIPS OPEN,L,,G WK,N,TRIPS OPEN,,N,Pass,DB,DIG-PIVOT-SEAM,R,DIG-PIVOT-SEAM,,,BOUND,"Complete, TD",43,,,,,SET-G,,,?,,,,FADE-PIVOT-SEAM,OUT,HALF SLIDE,,,,,,
65,O,BUCHANAN,LIBERTY,2M,10,10,1,10,-38,R,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,DB,DIG-SEAM-BEND/X SHALLOW,L,DIG-VERTICAL-BEND/X SHALLOW,,,FIELD,Complete,12,,,,,ODD,,3 BASE,5,,,,,,HALF SLIDE,,,,,,
66,O,BUCHANAN,LIBERTY,2M,10,10,1,10,50,L,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Pass,DB,DIG-SEAM-BEND/X SHALLOW,L,DIG-VERTICAL-BEND/X SHALLOW,,,FIELD,Sack,0,,,,,ODD,,4 FIELD EDGE,SPECIAL,,,,,,HALF SLIDE,,,,,,
62,O,BUCHANAN,CENTRAL,,10,10,3,6,-42,M,G WK DBL TWINS,R,,G WK,N,DBL TWINS,,N,Pass,DB,CHOP,R,CHOP,,,LEFT,Incomplete,0,,,,,DIME,,BULLETS,,,,,,,HALF SLIDE,,,,,,
125,O,BUCHANAN,CENTRAL,,11,11,3,8,26,L,G WK TRIPS,L,,G WK,N,TRIPS,,N,Pass,SPRINT,COMEBACK-FLAT-OUT,R,COMEBACK-FLAT-OUT,,,FIELD,Complete,11,,,,,DIME,,BULLETS,,,,,,,SPRINT,,,,,,
81,O,BUCHANAN,DE LA SALLE,,10,10,3,13,-22,L,G ST DBL TWINS,R,,G ST,N,DBL TWINS,,N,Pass,DB,CROSSERS,L,CROSSERS,,,BOUND,Incomplete,0,,,,,,,,,,,,,,,,,,,,
106,O,BUCHANAN,DE LA SALLE,,10,10,3,8,-47,M,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,TRICK,DBL MOVES,R,DBL MOVES,,,LEFT,Incomplete,0,,,,,,,,,,,,,,,,,,,,
35,O,BUCHANAN,DE LA SALLE,,10,10,2,13,-27,L,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Pass,PA,DBL SLANT-ARROW,R,DBL SLANT-ARROW,,,FIELD,Sack,-18,,,,,,,,,,,,,,,,,,,,
83,O,BUCHANAN,CENTRAL,,10,10,3,10,-43,R,G ST DBL TWINS,L,,G ST,N,DBL TWINS,,N,Pass,DB,DBP,L,DBP,,,FIELD,Scramble,-2,,,,,MINT,,,,,,,,,HALF SLIDE,,,,,,
8,O,BUCHANAN,LIBERTY,,10,10,3,10,-43,R,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,DB,DIG-POST-BEND/X SHALLOW,R,DIG-VERTICAL-BEND/X SHALLOW,,,BOUND,Complete,16,,,,,ODD,,3 BASE,0 UNDER,,,,,,HALF SLIDE,,,,,,
43,O,BUCHANAN,DE LA SALLE,P,10,10,1,10,-18,L,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,BOLT ST,Pass,QK,INV $,L,INV $,,,FIELD,Penalty,21,,,,,,,,,,,,,,,,,,,,
44,O,BUCHANAN,DE LA SALLE,,10,10,1,10,-39,L,G WK DBL TWINS,R,,G WK,N,DBL TWINS,,N,Pass,DB,MESH,R,MESH,,,FIELD,Scramble,17,,,,,,,,,,,,,,,,,,,,
62,O,BUCHANAN,DE LA SALLE,,10,10,3,10,-20,R,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,DB,DIG-SEAM-BEND/X SHALLOW,L,MESH WHEEL,,,FIELD,Incomplete,0,,,,,,,,,,,,,,,,,,,,
46,O,BUCHANAN,DE LA SALLE,,10,10,2,10,44,M,G WK DBL TWINS,L,,G WK,N,DBL TWINS,,BOLT WK,Pass,QK,MONEY/SLANTS-T SWING,R,MONEY,,,LEFT,Complete,0,,,,,,,,,,,,,,,,,,,,
44,O,BUCHANAN,CENTRAL,,10,10,2,8,45,R,G WK TRIPS OPEN,L,,G WK,N,TRIPS OPEN,,N,Pass,QK,QDP,L,QDP,,,FIELD,Penalty,10,,,,,DINE,,BULLETS,0,,,,SLANT-CORNER-?,SLANT,SWING,,,,,,
101,O,BUCHANAN,DE LA SALLE,,10,10,3,11,-19,M,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,QK,SLANT-WHEEL-SLANT,R,SLANT-WHEEL-SLANT,,,LEFT,Complete,15,,,,,,,,,,,,,,,,,,,,
45,O,BUCHANAN,DE LA SALLE,,10,10,1,10,44,M,G WK DBL TWINS,L,,G WK,N,DBL TWINS,,N,Pass,RPO,STRETCH CT ST/SLANTS,L,STRETCH PIN PULL RPO,,,RIGHT,Incomplete,0,,,,,,,,,,,,,,,,,,,,
129,O,BUCHANAN,CENTRAL,,10,10,4,18,23,L,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Pass,DB,VERTS/X CROSS,L,VERTS/X CROSS,,,BOUND,Incomplete,0,,,,,DIME,,BULLET,,,,,,,HALF SLIDE,,,,,,
45,O,BUCHANAN,CENTRAL,,10,10,1,10,35,R,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Pass,RPO,ZONE RD WK/BUBBLE ST,L,ZONE RD RPO,,,FIELD,Complete,-4,,,,,DIME,,BULLETS,0,,,,,,PAP,,,,,,
109,O,BUCHANAN,LIBERTY,,10,10,1,10,-20,M,G WK DBL TWINS,R,,G WK,N,DBL TWINS,,N,Run,ST,CTR OT RD ST,R,COUNTER RD,,,RIGHT,Rush,2,,,,,ODD,,4 BASE,4,,,,,,,,,,,,
69,O,BUCHANAN,LIBERTY,,10,10,1,10,-20,M,G ST DBL TWINS,R,,G ST,N,DBL TWINS,,N,Run,WK,CTR OT RD WK,L,COUNTER RD,,,RIGHT,Rush,-4,,,,,ODD,,4 BASE,4 PRESS,,,,,,,,,,,,
43,O,BUCHANAN,CENTRAL,P,10,10,1,10,47,R,G ST TRIPS OPEN,L,,G ST,N,TRIPS OPEN,,N,Run,WK,ZONE LOCK WK,R,ZONE LOCK,,,BOUND,Rush,2,2,,,,MINT,,,0,,,,,,,,,,,,
66,O,BUCHANAN,WEST,,10,10,1,15,-23,L,G ST TRIPS OPEN,R,,G ST,N,TRIPS OPEN,,N,Run,WK,ZONE LOCK WK,L,ZONE LOCK,,,BOUND,Rush,4,,,,,WC-G,,,BLUE-SOLO,,,,,,,,,,,,
34,O,BUCHANAN,DE LA SALLE,P,10,10,1,10,-20,L,G ST DBL TWINS,R,,G ST,N,DBL TWINS,,N,Run,WK,KICK O WK,L,KICK,,,BOUND,Rush,7,,,,,,,,,,,,,,,,,,,,
70,O,BUCHANAN,LIBERTY,,10,0,2,14,-16,M,EG 3X2,L,,EG,N,EMPTY,,N,Run,DRAW,QB DRAW,R,QB DRAW,,,LEFT,Rush,11,,,,,ODD,,5 DOUBLE EDGE,0 MAN,,,,,,,,,,,,